username,content,date
cnnbrk,"A drone attack targeted US troops at a US base in Syria, a defense official says. Initial assessment suggests no US injuries.
https://t.co/mwj1cMxCYT",2021-10-20 21:13:51+00:00
cnnbrk,FDA authorizes booster doses of Moderna and J&amp;J Covid vaccines and says a mix-and-match approach to boosters is OK https://t.co/W1yR6mS6Ma,2021-10-20 20:59:17+00:00
cnnbrk,"Apparent human remains were found during today's search for Gabby Petito's fiancé Brian Laundrie, the FBI says https://t.co/Vzhr5VuAft",2021-10-20 20:39:23+00:00
cnnbrk,"Medical examiner called in after items belonging to Brian Laundrie, the missing fiancé of Gabby Petito, found in Florida park
https://t.co/B9r71DMFZx https://t.co/mBW7d9QbpN",2021-10-20 17:05:18+00:00
cnnbrk,"Items belonging to Gabby Petito's fiancé Brian Laundrie have been found at a Florida park, family attorney says
https://t.co/MUPDb7Rnoz",2021-10-20 16:35:05+00:00
cnnbrk,"Parkland shooter Nikolas Cruz pleads guilty to the February 2018 massacre at the South Florida high school that left 17 people dead
https://t.co/LBSigDYdzy",2021-10-20 14:30:22+00:00
cnnbrk,"Rep. Liz Cheney says Steve Bannon's refusal to cooperate with the January 6 panel suggests Trump was ""personally involved"" with the Capitol riot plans
https://t.co/tlLTU1pNEk",2021-10-20 14:29:48+00:00
cnnbrk,"The White House releases its plans to roll out Covid-19 vaccines for children ages 5 to 11, pending FDA authorization https://t.co/pgcPGX8OaW",2021-10-20 11:45:00+00:00
cnnbrk,"Britain's Queen Elizabeth accepts medical advice to rest for a few days, canceling a planned visit to Northern Ireland https://t.co/7AF3qdLMbD",2021-10-20 10:28:57+00:00
cnnbrk,"Biden tells House Democrats that tuition-free community college is expected to be cut from the final version of their economic package, sources say https://t.co/gwjqzE5a5U",2021-10-19 22:16:50+00:00
cnnbrk,"Fox News anchor Neil Cavuto, who has been open over the years about his journey with multiple sclerosis, has tested positive for Covid-19. He is vaccinated. https://t.co/SIatvCg2hV",2021-10-19 21:54:57+00:00
cnnbrk,Famed basketball announcer Dick Vitale announced he has lymphoma and will undergo six months of chemotherapy https://t.co/4g6nlQ7llP,2021-10-19 21:52:18+00:00
cnnbrk,"Homeland Security Secretary Alejandro Mayorkas, who is vaccinated, tests positive for Covid-19 https://t.co/fy3vQNQbYw",2021-10-19 18:58:38+00:00
cnnbrk,"The FBI is conducting ""law enforcement activity"" at the Washington home of Russian oligarch Oleg Deripaska, a close ally of Vladimir Putin https://t.co/i2ObdBHPdR",2021-10-19 17:14:16+00:00
cnnbrk,South Carolina attorney Alex Murdaugh denied bond in case alleging he misappropriated settlement funds in connection with the death of housekeeper https://t.co/5xTrcbhefH,2021-10-19 15:47:03+00:00
cnnbrk,"The powerful Haitian gang that abducted 17 US and Canadian missionaries, including five children, wants $1 million each for their release
https://t.co/7jGvOZO76m",2021-10-19 13:52:23+00:00
cnnbrk,"North Korea has fired at least one ballistic missile from the country's east coast, authorities say
https://t.co/Hx78fKAlcX",2021-10-19 04:02:12+00:00
cnnbrk,"The January 6 committee has released a report that outlines its efforts to get Steve Bannon to comply with its subpoena and his refusal to do so
https://t.co/hGdywLIrrm",2021-10-18 23:53:40+00:00
